IP,Subject_CN,Issuer_CN,Sig_Algo,Pubkey_Type,Pubkey_Bits,NotAfter,SAN,source
,*.coe.unt.edu,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",,,,2013-06-11T12:55:35,*.coe.unt.edu;College of Education,crtsh
,emresourcecenter.nlectc.du.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-06-28T23:59:59,emresourcecenter.nlectc.du.edu,crtsh
,forums.brandeis.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-08T23:59:59,forums.brandeis.edu,crtsh
,www.tms.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-04-08T23:59:59,www.tms.edu,crtsh
,blu.is.berkeley.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-12-05T23:59:59,blu.is.berkeley.edu,crtsh
,uncclc.coast.uncwil.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-12-18T10:19:01,0-access.oxfordjournals.org.uncclc.coast.uncwil.edu;0-apps.webofknowledge.com.uncclc.coast.uncwil.edu;0-checkpoint.riag.com.uncclc.coast.uncwil.edu;0-commerce.metapress.com.uncclc.coast.uncwil.edu;0-dl.acm.org.uncclc.coast.uncwil.edu;0-images.webofknowledge.com.uncclc.coast.uncwil.edu;0-jstor.org.uncclc.coast.uncwil.edu;0-muse.jhu.edu.uncclc.coast.uncwil.edu;0-myendnoteweb.com.uncclc.coast.uncwil.edu;0-online.sagepub.com.uncclc.coast.uncwil.edu;0-pcs.webofknowledge.com.uncclc.coast.uncwil.edu;0-portal.acm.org.uncclc.coast.uncwil.edu;0-pubs.acs.org.uncclc.coast.uncwil.edu;0-scifinder.cas.org.uncclc.coast.uncwil.edu;0-wcs.webofknowledge.com.uncclc.coast.uncwil.edu;0-www.icpsr.umich.edu.uncclc.coast.uncwil.edu;0-www.ingentaconnect.com.uncclc.coast.uncwil.edu;0-www.jstor.org.uncclc.coast.uncwil.edu;0-www.myendnoteweb.com.uncclc.coast.uncwil.edu;0-www.sciencedirect.com.uncclc.coast.uncwil.edu;m.libcat.uncw.edu;uncclc.coast.uncwil.edu;www.libcat.uncw.edu;www.uncclc.coast.uncwil.edu,crtsh
,courseweb.library.upenn.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-23T23:59:59,courseweb.library.upenn.edu,crtsh
,www.chac.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=PositiveSSL CA 2",,,,2013-11-27T23:59:59,chac.edu;www.chac.edu,crtsh
,muonline.millikin.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-05-29T18:01:15,muonline.millikin.edu,crtsh
,reporting.drexel.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-08-23T23:59:59,reporting.drexel.edu,crtsh
,planning.sccsc.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-10-12T23:59:59,planning.sccsc.edu,crtsh
,www.online.commnet.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-11-14T12:00:00,fs.commnet.edu;idfinder.commnet.edu;intranet.txcc.commnet.edu;ManageSpam.ct.edu;mxprofilemgr.mxcc.commnet.edu;nv.edu;plv1-casvip.commnet.edu;plv1.commnet.edu;servicedesk.ct.edu;tunxis.commnet.edu;tunxis.edu;tx-asc-trac.txcc.commnet.edu;www.commnet.edu;www.mcc.commnet.edu;www.nvcc.commnet.edu;www.nv.edu;www.online.commnet.edu;www.ris.commnet.edu;www.tunxis.commnet.edu;www.tunxis.edu,crtsh
,ping.johnshopkins.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-09-10T10:45:44,ping.johnshopkins.edu,crtsh
,mail.transy.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-10-23T23:59:59,mail.transy.edu,crtsh
,notesmail01.wnc.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-13T12:00:00,Nevada System of Higher Education;notesmail01.wnc.edu,crtsh
,webmail.nursing.upenn.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SGC CA - G2",,,,2013-08-21T23:59:59,webmail.nursing.upenn.edu,crtsh
,www.usa.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-06-27T23:59:59,www.usa.edu,crtsh
,*.dwu.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-07T16:29:50,*.dwu.edu;dwu.edu,crtsh
,elearningcoop.psu.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-07-28T23:59:59,elearningcoop.psu.edu;Undergraduate Education and International Programs,crtsh
,timesheet.mtu.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-05-16T23:59:59,timesheet.mtu.edu,crtsh
,wwwapps01.uff.ufl.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-09-05T23:59:59,wwwapps01.uff.ufl.edu,crtsh
,facultysearches.provost.upenn.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-14T12:00:00,facultysearches.provost.upenn.edu,crtsh
,aizenberglab.seas.harvard.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-12-09T09:45:59,aizenberglab.seas.harvard.edu,crtsh
,www.iticollege.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-12-12T16:12:28,iticollege.edu;www.iticollege.edu,crtsh
,illiad.tamucc.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-12-07T10:49:29,illiad.tamucc.edu,crtsh
,learn.coastal.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-12-20T23:59:59,learn.coastal.edu,crtsh
,My.lfgsm.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-09-25T13:51:52,My.lfgsm.edu;www.My.lfgsm.edu,crtsh
,unex.uci.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-11-04T23:59:59,unex.uci.edu,crtsh
,district.bluegrass.kctcs.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-08-03T23:59:59,district.bluegrass.kctcs.edu,crtsh
,webmail.cnm.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-05-12T12:00:00,autodiscover.cnm.edu;casht01.admin.ad.cnm.edu;casht02.admin.ad.cnm.edu;owa.cnm.edu;webmail.cnm.edu,crtsh
,ssc.memphis.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-09-25T23:59:59,ssc.memphis.edu;www.ssc.memphis.edu,crtsh
,catalyst.deanza.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-09-10T23:59:59,catalyst.deanza.edu,crtsh
,*.er.llcc.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-09-16T14:20:02,*.er.llcc.edu;er.llcc.edu,crtsh
,jobs.villanova.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-12-17T12:00:00,jobs.villanova.edu,crtsh
,*.pmc.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-05-01T17:15:02,*.pmc.edu;pmc.edu,crtsh
,*.foundation.fsu.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-20T19:57:47,*.foundation.fsu.edu;foundation.fsu.edu,crtsh
,blackboard.murraystate.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-11-13T23:59:59,blackboard.murraystate.edu,crtsh
,proxy.mci.edu,"C=NL, O=TERENA, CN=TERENA SSL CA",,,,2013-05-14T23:59:59,proxy.mci.edu,crtsh
,flourite.unh.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-04-30T12:00:00,flourite.unh.edu,crtsh
,*.mbi.ohio-state.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-07-20T23:59:59,*.mbi.ohio-state.edu,crtsh
,*.boisestate.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-05-05T23:59:59,*.boisestate.edu;boisestate.edu,crtsh
,mynsmstore.uh.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)06, CN=VeriSign Class 3 Extended Validation SSL CA",,,,2013-05-03T23:59:59,mynsmstore.uh.edu,crtsh
,luminis.cc.plattsburgh.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-12-09T23:59:59,luminis.cc.plattsburgh.edu,crtsh
,3dfacebase.ucsd.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-04-26T23:59:59,3dfacebase.ucsd.edu,crtsh
,sys2.unet.brandeis.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-03-25T23:59:59,sys2.unet.brandeis.edu,crtsh
,homer.gsu.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-10-06T23:59:59,homer.gsu.edu;www.homer.gsu.edu,crtsh
,cas.vbi.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-04-27T11:50:13,cas.bioinformatics.vt.edu;cas.vbi.vt.edu;edu,crtsh
,*.unm.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-04-02T02:46:24,*.unm.edu;unm.edu,crtsh
,scdn-static.phoenix.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-09-01T23:59:59,scdn-static.phoenix.edu,crtsh
,sites.stedwards.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-06-14T16:50:02,sites.stedwards.edu,crtsh
,*.dixie.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-06-26T23:59:59,*.dixie.edu;dixie.edu,crtsh
,aceweb.roanestate.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-08-05T17:50:02,aceweb.roanestate.edu,crtsh
,webvpn.hks.harvard.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-12-18T19:29:26,webvpn.hks.harvard.edu,crtsh
,outlook.wcupa.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-07-02T12:00:00,autodiscover.wcupa.edu;outlook.wcupa.edu,crtsh
,coned.hilbert.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-04-01T12:00:00,coned.hilbert.edu,crtsh
,email.national.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-28T17:20:35,autodiscover.national.edu;email.national.edu;exchcas01.national.edu;exchcas02.national.edu;webmail.national.edu;www.email.national.edu,crtsh
,Imail.fitnyc.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-07-25T23:59:59,Imail.fitnyc.edu,crtsh
