IP,Host,Port,Subject_CN,Issuer_CN,SAN,Pubkey_Type,Pubkey_Bits,Sig_Algo,NotBefore,NotAfter,Validity_Days,Days_Remaining,Fingerprint,source
104.16.141.114,,443,ssl998930.cloudflaressl.com,COMODO ECC Domain Validation Secure Server CA 2,ssl998930.cloudflaressl.com,ec,256,ecdsa-with-SHA256,2020-04-07T00:00:00,2020-10-14T23:59:59,190,-1864,46015bb569f0b7926381353dd17717763c4425dcf870091dc9c2553e537f0a49,nmap
104.20.43.148,,443,ssl875628.cloudflaressl.com,COMODO ECC Domain Validation Secure Server CA 2,ssl875628.cloudflaressl.com,ec,256,ecdsa-with-SHA256,2020-03-30T00:00:00,2020-10-06T23:59:59,190,-1872,0f385b8d5d60a7c6d64e6568e75e0888fadda0372cd9c2a90989e03800fbecf1,nmap
121.37.49.12,,443,*.huawei.com,Actalis Organization Validated Server CA G3,*.huawei.com;huawei.com,rsa,2048,sha256WithRSAEncryption,2023-05-05T01:35:44,2024-06-02T06:48:44,394,-538,435bd82346cd9adb6c362cd95793bcba2c40bd90220f01260579bc78e5e196f2,nmap
121.40.67.193,,443,e9h.cn,Let's Encrypt Authority X3,e9h.cn,rsa,2048,sha256WithRSAEncryption,2020-10-02T19:20:50,2020-12-31T19:20:50,90,-1787,254bf149604170d013dbfaf5cf0dcd12d136d3cad2b1fe0b71f57fa9950ba84e,nmap
123.30.151.75,,443,phapluatbandoc.giadinh.net.vn,R3,phapluatbandoc.giadinh.net.vn,rsa,2048,sha256WithRSAEncryption,2023-11-03T07:13:17,2024-02-01T07:13:16,89,-660,2f1c939a81f4a698888662233fada834748f9df070a9ee8ac2b9b9cca212e7cc,nmap
130.126.157.20,,443,illinois.edu,illinois.edu,illinois.edu;www.illinois.edu,rsa,4096,sha256WithRSAEncryption,2025-11-06T22:35:04,2025-11-07T22:35:04,1,-14,f683776cf8628e12cda11b5aa3833520eec5c9e94da4506169396ae1297ac3f8,nmap
134.76.31.198,,443,www.mpg.de,GEANT OV RSA CA 4,mpg.de;www.mpg.de,rsa,4096,sha384WithRSAEncryption,2024-11-14T00:00:00,2025-11-14T23:59:59,365,-7,216387683ba1e0960e6240414f89ce23ad61bc501d13f233c189f45fd8e34010,nmap
148.222.71.12,,443,,,,rsa,2048,sha256WithRSAEncryption,2020-02-27T09:36:12,2021-02-26T09:36:12,365,-1730,7b43dd5646a557107e1ab8948381e97cceee4108053d488d71935c7ab8acf73b,nmap
15.197.238.104,,443,*.mysafetrippledge.com,Amazon,*.mysafetrippledge.com,rsa,2048,sha256WithRSAEncryption,2020-05-21T00:00:00,2021-06-21T12:00:00,396,-1615,6c3337a604cb3495a98ed59cc1703f8529de99fcca8603883873b8b4e58bc8f8,nmap
151.101.2.168,,443,*.aenetworks.com,GlobalSign Atlas R3 DV TLS CA 2022 Q3,*.aecrimecentral.com;*.aenetworks.com;*.aetv.com;*.aws.aetnd.io;*.crimeandinvestigationnetwork.com;*.dance.mylifetime.com;*.fyi.tv;*.history.com;*.historyvault.com;*.lifetimemovieclub.com;*.mylifetime.com;*.shop.mylifetime.com;aecrimecentral.com;aenetworks.com;aetv.com;crimeandinvestigationnetwork.com;fyi.tv;history.com;historyvault.com;lifetimemovieclub.com;mylifetime.com,rsa,2048,sha256WithRSAEncryption,2022-09-28T18:05:01,2023-10-30T18:05:00,396,-754,dd6890d20b222d0ab79a494738c93b0043752d4c1b8428dbd1c3ec38d0e84bf5,nmap
156.146.56.163,,443,*.b-cdn.net,Sectigo RSA Domain Validation Secure Server CA,*.b-cdn.net;b-cdn.net,rsa,2048,sha256WithRSAEncryption,2024-11-05T00:00:00,2025-11-11T23:59:59,371,-10,569eb94986bf155da7490e1684e6d2ee805d1bc836bc1e07e092756a868b0c81,nmap
