IP,Host,Port,Subject_CN,Issuer_CN,SAN,Pubkey_Type,Pubkey_Bits,Sig_Algo,NotBefore,NotAfter,Validity_Days,Days_Remaining,Fingerprint,source
1.255.53.121,,443,*.humoruniv.com,R13,*.humoruniv.com;humoruniv.com,rsa,2048,sha256WithRSAEncryption,2025-09-02T06:17:42,2025-12-01T06:17:41,89,9,18fece093913d57220eb6bb139187659c4bf52f28dfa39b570bafe11187e7828,nmap
103.107.217.18,,443,*.kwai.net,GlobalSign RSA OV SSL CA 2018,*.kwai.net;kwai.net,rsa,2048,sha256WithRSAEncryption,2024-10-24T06:41:09,2025-11-25T06:41:08,396,3,b4e7fa59e20852658f623b4b6bfa347f9518d89409ef210ba4aa26ddf16e6ef5,nmap
104.16.125.63,,443,jutarnji.hr,WE1,*.jutarnji.hr;jutarnji.hr,ec,256,ecdsa-with-SHA256,2025-09-14T07:57:43,2025-12-13T08:56:56,90,21,fe94297931cf105b19b6d7257a875f3a44f6d8ad17b13b7168700c445ee848c6,nmap
104.16.127.24,,443,moz.com,WE1,*.moz.com;moz.com,ec,256,ecdsa-with-SHA256,2025-09-22T01:42:22,2025-12-21T02:42:19,90,29,5da95edfc87a78456805eb4c6c8d626b7f3f846c297d8da2ed783cc250ac068a,nmap
104.16.133.229,,443,26d54cff.sni.cloudflaressl.com,WE1,26d54cff.sni.cloudflaressl.com;cloudflare.com,ec,256,ecdsa-with-SHA256,2025-09-10T18:11:56,2025-12-09T19:11:41,90,17,950a3399ff699fc3748dd03e59b80ae620690b64e4664f5c0c81b4b9dd1c3955,nmap
104.16.150.108,,443,onrocket.site,WE1,*.onrocket.site;onrocket.site,ec,256,ecdsa-with-SHA256,2025-09-10T11:40:28,2025-12-09T12:40:12,90,17,d82ee84a2215157c299e27259f8e788d52787587ecfd23fa49fc22b6a17d57c6,nmap
104.16.151.108,,443,onrocket.site,WE1,*.onrocket.site;onrocket.site,ec,256,ecdsa-with-SHA256,2025-09-10T11:40:28,2025-12-09T12:40:12,90,17,d82ee84a2215157c299e27259f8e788d52787587ecfd23fa49fc22b6a17d57c6,nmap
104.16.218.109,,443,namu.wiki,WE1,*.namu.wiki;namu.wiki,ec,256,ecdsa-with-SHA256,2025-09-15T20:09:44,2025-12-14T21:09:42,90,23,0040b62318c3292f75eac5c5ff9a279880a4f4e67b6000e554d59a6a480000fd,nmap
104.16.228.229,,443,4chan.org,WE1,*.4chan.org;4chan.org,ec,256,ecdsa-with-SHA256,2025-09-14T19:43:42,2025-12-13T20:21:27,90,21,46c145b6ba700551b01928801c35ec20e5a299df5289bafdbd367d79212f23b3,nmap
104.17.118.12,,443,stripchat.com,WE1,*.beta.stripchat.com;*.stripchat.com;stripchat.com,ec,256,ecdsa-with-SHA256,2025-09-17T00:57:17,2025-12-16T01:56:40,90,24,269c8519b019bb8599dca432ad0996a8983a9a06a42965e6314a012f771d9e69,nmap
104.17.123.62,,443,crazygames.com,WE1,*.crazygames.com;crazygames.com,ec,256,ecdsa-with-SHA256,2025-09-15T22:10:28,2025-12-14T23:10:13,90,23,210dc5f702f3d8f5de3f817570e9972de38443916ea1766939e395ddd6eba910,nmap
104.17.135.117,,443,npmjs.com,WE1,*.internal.npmjs.com;*.npmjs.com;npmjs.com,ec,256,ecdsa-with-SHA256,2025-09-22T01:30:02,2025-12-21T02:29:59,90,29,becaf8d2e97dc1b9a407502906ed908e0cf02c9621579396cf9276b03a8b64f0,nmap
104.17.30.3,,443,curseforge.com,WE1,*.curseforge.com;curseforge.com,ec,256,ecdsa-with-SHA256,2025-09-16T14:37:23,2025-12-15T15:37:05,90,23,0720848e8701a687cd054a7bc9534eeb6079e68af470683a08e008754e56ead2,nmap
104.18.144.9,,443,poki.com,WE1,*.poki.com;poki.com,ec,256,ecdsa-with-SHA256,2025-09-15T16:02:44,2025-12-14T17:02:35,90,22,0ad127339b9e1c80a555d86fa33a07f87248713d67fbcc88a5458ce67f3827cc,nmap
104.18.155.119,,443,jquery.com,WE1,*.jquery.com;jquery.com,ec,256,ecdsa-with-SHA256,2025-09-14T16:10:29,2025-12-13T16:31:52,90,21,8657d571b024cc54388c985bb4be0a88b1b7d3ed0f493a3225c31d561d16641b,nmap
104.18.173.119,,443,typing.com,WE1,*.typing.com;typing.com,ec,256,ecdsa-with-SHA256,2025-09-14T02:48:51,2025-12-13T00:18:34,89,21,f6503a98996340fa4a67fa2035781610bcefa5256aecfdeeccc9bb3718d70810,nmap
104.18.202.4,,443,*.mmcdn.com,DigiCert Global G3 TLS ECC SHA384 2020 CA1,*.mmcdn.com;*.static.mmcdn.com;mmcdn.com;static.mmcdn.com,ec,256,ecdsa-with-SHA384,2024-12-01T00:00:00,2025-12-04T23:59:59,368,13,747f2597f15e4b2f08b365cf410c5d43019cfc2def9e1aa08c5bdc8f851fdf26,nmap
104.18.67.220,,443,pexels.com,WE1,e.community.pexels.com;l.community.pexels.com;pexels.com,ec,256,ecdsa-with-SHA256,2025-09-22T00:26:43,2025-12-21T01:26:40,90,29,fd7cdb8547be4328d6a03a00a93189fc39f363f64ce40be34245c95dda5763c7,nmap
104.193.121.6,,443,srv5120.mjhst.com,R13,srv5120.mjhst.com,rsa,2048,sha256WithRSAEncryption,2025-09-16T10:47:11,2025-12-15T10:47:10,89,23,1dee7c73c84b8362f5a19faddc6cd3b3b369ccac642554556dd01d98015fe5ba,nmap
