ip,status,note
185.39.208.69,unknown,no_ocsp_url
192.0.66.69,unknown,no_ocsp_url
185.12.152.144,good,good
54.159.189.155,good,good
178.248.234.104,good,good
31.193.186.247,unknown,no_ocsp_url
76.223.34.124,good,good
89.186.92.211,good,good
37.48.253.222,good,good
156.154.121.71,good,good
52.206.136.3,unknown,no_ocsp_url
74.6.143.26,good,good
19.12.97.37,good,good
75.2.76.225,good,good
5.188.83.102,unknown,no_ocsp_url
54.153.56.183,unknown,no_ocsp_url
13.248.238.180,good,good
3.33.134.116,good,good
64.99.80.28,unknown,no_ocsp_url
3.7.241.105,good,good
192.147.130.204,good,good
23.195.110.113,good,good
190.92.221.14,good,good
23.217.177.33,good,good
54.82.10.12,good,good
213.180.204.242,good,good
176.114.120.24,good,good
210.140.64.86,unknown,no_ocsp_url
192.124.249.80,good,good
185.88.181.6,good,good
23.222.196.30,good,good
192.0.77.40,good,good
34.120.225.113,good,good
34.90.220.148,unknown,no_ocsp_url
54.68.22.26,good,good
23.195.108.195,good,good
15.197.146.213,good,good
151.101.129.184,good,good
54.202.198.125,unknown,no_ocsp_url
34.149.236.87,good,good
13.89.188.82,good,good
52.212.180.87,good,good
107.20.176.212,good,good
192.0.66.24,unknown,no_ocsp_url
104.17.111.223,good,good
199.16.172.9,unknown,no_ocsp_url
185.26.115.38,unknown,cmd_output_unknown
52.200.46.40,good,good
147.67.34.45,good,good
34.149.146.46,good,good
185.88.181.56,good,good
185.88.181.58,good,good
195.242.83.13,good,good
13.248.150.189,good,good
13.214.238.55,good,good
143.166.30.172,good,good
99.83.137.54,good,good
192.0.43.8,good,good
219.76.10.208,good,good
185.207.236.137,unknown,no_ocsp_url
13.248.130.246,good,good
212.27.48.10,good,good
106.11.43.107,good,good
129.176.1.88,good,good
45.144.150.96,unknown,no_ocsp_url
34.36.102.187,good,good
13.107.138.10,good,good
101.33.27.53,good,good
159.127.40.136,good,good
192.0.66.226,unknown,no_ocsp_url
216.198.79.195,unknown,no_ocsp_url
20.203.8.77,good,good
23.195.108.112,good,good
52.74.6.109,good,good
35.186.248.227,good,good
162.159.129.53,unknown,no_ocsp_url
46.243.143.249,good,good
99.83.221.176,good,good
185.6.76.42,good,good
54.225.65.133,good,good
18.210.141.171,good,good
50.17.152.14,good,good
46.28.234.143,unknown,no_ocsp_url
3.114.153.73,good,good
54.95.87.102,good,good
52.202.204.11,good,good
95.163.61.43,good,good
3.253.181.192,good,good
160.17.8.24,good,good
210.115.155.100,good,good
78.194.169.74,unknown,no_issuer_url
34.147.120.111,good,good
162.159.128.235,good,good
128.197.236.4,good,good
128.116.50.3,good,good
100.25.136.152,good,good
99.83.155.228,good,good
100.20.214.93,good,good
82.165.229.138,good,good
34.120.195.169,good,good
167.187.200.23,good,good
23.50.93.217,good,good
156.238.128.31,good,good
75.2.38.108,good,good
3.17.251.189,good,good
104.18.185.80,good,good
23.22.10.20,unknown,cmd_output_unknown
162.159.138.60,good,good
91.107.70.180,good,good
47.246.173.237,good,good
94.139.253.29,unknown,no_ocsp_url
98.87.171.164,good,good
99.83.133.180,good,good
52.210.16.150,good,good
147.136.186.197,unknown,no_ocsp_url
18.200.1.103,good,good
20.238.3.66,unknown,cmd_output_unknown
74.112.186.157,good,good
34.169.83.167,good,good
52.45.20.31,good,good
23.49.104.40,good,good
47.74.244.18,good,good
199.83.128.215,good,good
199.15.163.133,unknown,no_ocsp_url
13.113.196.52,good,good
216.119.218.99,good,good
216.218.236.2,good,good
148.222.71.12,unknown,no_ocsp_url
199.48.210.151,good,good
52.36.224.135,good,good
170.114.52.2,good,good
52.6.127.76,good,good
47.103.24.173,good,good
54.153.42.189,good,good
161.221.74.213,good,good
208.94.3.19,good,good
185.191.197.183,unknown,no_ocsp_url
34.204.55.14,unknown,no_ocsp_url
209.202.252.105,unknown,no_ocsp_url
23.75.213.15,good,good
104.111.201.109,good,good
52.39.206.44,good,good
85.153.138.111,good,good
183.84.7.241,good,good
3.33.167.235,good,good
47.246.137.105,good,good
205.254.131.65,good,good
104.16.180.118,good,good
34.160.122.192,good,good
3.218.0.127,good,good
103.107.217.18,good,good
20.119.0.28,good,good
199.232.208.194,good,good
104.16.141.114,unknown,cmd_output_unknown
69.10.42.201,good,good
23.111.99.17,good,good
185.71.67.21,unknown,no_ocsp_url
44.215.128.228,good,good
157.150.185.49,good,good
190.115.16.11,unknown,no_ocsp_url
34.201.157.226,good,good
213.13.145.114,good,good
81.12.52.70,unknown,no_ocsp_url
207.154.193.140,good,good
43.153.249.87,good,good
110.75.130.45,good,good
54.158.24.240,good,good
36.51.224.123,good,good
