ip,status,note
34.117.59.81,unknown,no_ocsp_url
99.83.155.228,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: 68c01216180eafcef687a63257a346515dcb0727
    produced at: n"
52.20.120.110,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: 748580c066c7df37decfbd2937aa031dbeedcd17
    produced at: n"
61.135.164.50,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: 2b2316811b47898a907aece832d46c8e72f9ce25
    produced at: n"
78.194.169.74,error,'NoneType' object has no attribute 'startswith'
192.99.110.193,unknown,no_ocsp_url
23.222.130.60,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: 748580c066c7df37decfbd2937aa031dbeedcd17
    produced at: n"
52.18.94.5,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: d677fe585db30e7d5a90eadab153ffa8ba74cca6
    produced at: n"
54.209.211.24,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: 748580c066c7df37decfbd2937aa031dbeedcd17
    produced at: n"
35.71.161.26,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: 1f5292615682547f8166d81d3d0aaa325c87dd08
    produced at: n"
172.66.130.136,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: 748580c066c7df37decfbd2937aa031dbeedcd17
    produced at: n"
157.150.185.49,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: 9af32bdacfad4fb62fbb2a48482a12b71b42c124
    produced at: n"
185.170.207.139,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: aa5c0544f3d29d7b7d0228033731b93a8270e6e6
    produced at: n"
3.17.251.189,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: c8d97868a2d91968d53d72de5f0a3edcb58686a6
    produced at: n"
192.0.66.24,unknown,no_ocsp_url
31.222.75.112,unknown,no_ocsp_url
23.207.192.111,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: e36674bb70688d2c5d4e0ea64a8f9b37229c8292
    produced at: n"
5.188.83.102,unknown,no_ocsp_url
135.181.136.158,unknown,no_ocsp_url
54.251.229.102,error,'NoneType' object has no attribute 'startswith'
18.214.176.153,good,"ocsp response data:
    ocsp response status: successful (0x0)
    response type: basic ocsp response
    version: 1 (0x0)
    responder id: c03152cd5a50c3827c7471cecbe99cf97aeb82e2
    produced at: n"
192.0.66.96,unknown,no_ocsp_url
